t,x,y,z
137.5,4.91735868630978,2.377567456146529,26.626235843798472
137.6,3.7252703466580654,3.7198092716920654,21.439702981943427
137.70000000000002,4.696465683372194,6.629913331739728,18.26096174664301
137.8,7.6602868097136545,11.641583705650877,18.936528740832262
137.9,11.934711094031016,15.540223408184652,26.975918391394966
138.0,12.376173342300616,9.128950671045224,35.26562867324646
138.1,7.409491820934677,2.298391010976594,31.555289196725184
138.20000000000002,3.8142553712391982,1.8196869920663958,24.983813419068344
138.3,3.0753041620286687,3.3991741799805353,19.85242284633742
138.4,4.299688753784661,6.459409346409637,16.743742099477302
138.5,7.5817020530440065,12.034242578349865,17.636466439819394
138.6,12.463918606526112,16.631468407759947,27.055614596381915
138.70000000000002,12.794444385623725,8.687054260067143,36.55224341239301
138.8,6.911830356099401,1.15511060939029,31.721165721717707
138.9,2.9817399278247194,0.8362323821706248,24.583371395179228
139.0,2.0667482992937116,2.1250678143676183,19.118019114010185
139.1,2.8576496071850728,4.396146273759451,15.315242341333093
139.20000000000002,5.395283561295603,9.13664222828072,14.131190655269455
139.3,10.537884480989103,16.73540684843178,20.136211913475755
139.4,14.76665999736042,14.633352438693073,35.61965001992076
139.5,9.524721528783013,1.5811686106388834,35.943276493545774
139.6,3.1537301007728815,-1.0092411986080845,27.423202740424514
139.70000000000002,0.7442852914534713,-0.38633573351148703,20.89225828441776
139.8,0.1839157400693234,-0.015596899498299645,15.995118005537147
139.9,0.12581682318595455,0.16443850367198404,12.252010377546357
140.0,0.23662546095247042,0.42990233759703356,9.388662621797822
140.1,0.5732226633384848,1.1089036264438226,7.217279566031898
140.20000000000002,1.507959735331957,3.008148611277607,5.707933121123042
140.3,4.14092517018378,8.344807409788888,5.724199196554347
140.4,10.90528199951887,20.313932508856926,13.936278381490125
140.5,18.118637797189606,17.663109265904644,41.16198772578112
140.6,8.437262183379662,-4.5975277247239745,38.41418986275007
140.70000000000002,-0.7998097354226793,-6.226319719623833,27.92453332145809
140.8,-4.228790808783708,-6.536912439784342,22.94288146560532
140.9,-6.532951661045928,-9.11747085850566,21.276499332901924
141.0,-9.476554243461482,-12.531406150574984,24.108213843883213
141.1,-11.52739922169765,-11.889832896335342,30.531534919846457
141.20000000000002,-9.806216339036116,-6.526924893279275,32.233771181877486
141.3,-6.562377369382053,-3.965483370255473,28.15457834662209
141.4,-5.090538166870779,-4.734471177840218,23.61469675652662
141.5,-5.725102360088031,-7.29773101022594,20.843057126415623
141.6,-8.127602582442528,-11.231807056581681,21.618950258310466
141.70000000000002,-11.174547404000515,-13.455671542326282,27.61518902294801
141.8,-11.26099908292725,-8.960954545136172,32.97798796621879
141.9,-7.80704365264779,-4.161166996802097,30.490248322530256
142.0,-5.175245212893393,-3.7318860245272143,25.36777039688729
142.1,-4.859738842341844,-5.58553149580955,21.361125669310116
142.20000000000002,-6.527385621303902,-9.110910247159945,19.970414065291152
142.3,-9.779856168729475,-13.33315904786145,23.555594005938474
142.4,-12.130517801918032,-12.359968009508124,31.47033939112655
142.5,-9.804332183263808,-5.698427033292394,33.00950265183331
142.6,-5.963785180782341,-3.054704730980823,27.972216759115884
142.70000000000002,-4.360816935241462,-3.9824606728254097,22.867099473722938
142.8,-5.0077078419842325,-6.630447333024126,19.60676601944407
142.9,-7.585271674517826,-11.070405228283565,19.898034282959163
143.0,-11.344564015499378,-14.608202068983875,26.51677723041168
143.1,-12.083667025104063,-9.75217785223167,34.04251528168818
143.20000000000002,-7.979573421665858,-3.4038162098259943,31.577080168554666
143.3,-4.5957285662887575,-2.6177140319426386,25.60358058278934
143.4,-3.8717324690379846,-4.25560944979062,20.785413393561296
143.5,-5.221094617403037,-7.548068043468811,18.20453465320615
143.6,-8.556844406281197,-12.785525164657322,20.150298000143195
143.70000000000002,-12.508460409075248,-14.991163790847187,29.363800107580964
143.8,-11.490926305368268,-7.160994136484705,35.13959669248986
143.9,-6.455178943997987,-2.00569418802608,30.07549578568704
144.0,-3.584053326398697,-2.2188512155647406,23.81039399528331
144.1,-3.3496043243717466,-4.103535327475231,19.128941400608326
144.20000000000002,-5.0349534860723075,-7.721476560528455,16.767853683325566
144.3,-8.851570122932676,-13.688381381242069,19.446090782123214
144.4,-13.241560159161896,-15.658594820022024,30.569962760423973
144.5,-11.404045339070585,-5.884095375432448,36.048416788625225
144.6,-5.6200808542112695,-0.9147539167679596,29.66265667100217
144.70000000000002,-2.701644470059164,-1.3524130481574441,23.03418005425918
144.8,-2.390175631800586,-2.9432507524911937,18.081633849147853
144.9,-3.7345755684277524,-5.957610026181235,15.003808379999423
145.0,-7.161617377241793,-11.941713561954497,15.74142134055271
145.1,-12.745902757232978,-17.93655978876376,26.06601564288582
145.20000000000002,-13.568064484937716,-8.975477121799226,37.95502375379913
145.3,-6.705503836641575,0.015385200766910634,32.41098214295052
145.4,-2.1398528571781377,0.4056514508308944,24.657212981122854
145.5,-0.8200751857451508,-0.3664780962060442,18.879078713837234
145.6,-0.8065824288948924,-1.146951265852349,14.509518724258788
145.70000000000002,-1.505963263657601,-2.643842049001968,11.298015776479508
145.8,-3.4102835502221063,-6.346005971858815,9.591953281861516
145.9,-8.079356375880344,-14.781188716545731,12.630809989770162
146.0,-15.519390959742625,-21.02797332437961,30.59269078947947
146.1,-12.931424090618577,-3.0588575069143853,41.052126294659196
146.20000000000002,-3.286143195782703,3.8457198270252273,30.5954129711734
146.3,1.1443332105494446,3.643845465526696,23.23165188338739
146.4,3.0630235732335263,4.877701885994812,18.60266620389538
146.5,5.451274227751223,8.66180719758731,16.747639300654154
146.6,9.689511085501689,14.724754481508711,20.78338924443857
146.70000000000002,13.549135487101562,14.577162907551504,32.630811855181975
146.8,10.402663724860242,4.327616275341885,35.38211689039771
146.9,4.854460520577542,0.7882955473826376,28.406939033276657
147.0,2.4905726445516723,1.5520628768950366,22.058250881239633
147.1,2.486990503679399,3.2921851417356445,17.38581050737251
147.20000000000002,4.114759318045635,6.687571782079898,14.717831856609005
147.3,7.973552325063045,13.205915052538128,16.550612459235385
147.4,13.535172009645931,17.806165280987404,28.712049594633868
147.5,12.709550392344518,6.684018653749227,38.015510031556104
147.6,5.648635758475781,-0.41768275574341723,31.015404496695872
147.70000000000002,1.7430281421982097,-0.3074229818040023,23.593469473034315
147.8,0.7282677829821926,0.43578490544741877,18.074414712897905
147.9,0.8151632846612117,1.224527331408997,13.895824845790985
148.0,1.5938544164597526,2.838794704213511,10.84983633489907
148.1,3.673453972494407,6.877129969278057,9.397391209151554
148.20000000000002,8.72249174497599,15.857421430544314,13.364695734502725
148.3,16.04449436978516,20.39007786323407,32.91468574386496
148.4,11.979324955819578,1.4327339403501769,40.385186906721366
148.5,2.570295977670372,-3.9794306587335417,29.736807372387148
148.6,-1.4660708963522386,-3.786268904769978,22.730524871544546
148.70000000000002,-3.364506127834193,-5.286904816117184,18.385698098116492
148.8,-5.94614257342691,-9.41111129310358,17.05577271870962
148.9,-10.349526078584857,-15.293439121018773,22.197175700203815
149.0,-13.508640803052987,-13.31504120391466,33.859685801579
149.1,-9.572885724808973,-3.472663291647362,34.52380123585847
149.20000000000002,-4.439114842210393,-0.9314161610032866,27.460381211175154
149.3,-2.51814576988859,-1.9056545199582253,21.394700177493128
149.4,-2.7973372497898166,-3.886860688689012,17.021005728886344
149.5,-4.7859608362004815,-7.819162057936345,14.935269843507859
149.6,-9.133007406667174,-14.711463858830905,18.41013507801329
149.70000000000002,-14.109483301436946,-16.490754816291723,31.96206043830317
149.8,-11.269297536112937,-4.32333059901088,37.03244135905671
149.9,-4.62088650302678,0.38661945986738977,29.259288615314315
150.0,-1.5823873861612243,-0.12780620511993754,22.34483987047832
150.1,-0.9872158555322423,-1.0190962053696948,17.170339999701937
150.20000000000002,-1.4478733109727624,-2.347552726101655,13.322046929746708
150.3,-2.9909866606905857,-5.375461392790594,10.931466732474355
150.4,-6.801733329712998,-12.364301153440643,12.12669432299708
150.5,-13.790970483169763,-20.707885952257524,25.430499369640156
150.6,-14.61807904741447,-7.788082628525354,41.067986409587235
150.70000000000002,-5.415717098755805,2.818288170405206,32.74388080124692
150.8,-0.05532017815601442,2.946693380341526,24.493217961553437
150.9,1.9216998899365623,3.4064867766206155,19.059734997763975
151.0,3.665725362787236,5.952257178991646,15.728980327511461
151.1,6.994168199760072,11.545625690470425,16.11610699485732
151.20000000000002,12.34788180942095,17.468790316476387,25.477520080905016
151.3,13.573785073176776,9.726806214211372,37.342681530155176
151.4,7.180466407882979,0.5651241866596042,32.71119959795134
151.5,2.571506787341376,-0.05170579393595588,25.03700785527688
151.6,1.247302337639416,0.8804959536425442,19.23040191937348
151.70000000000002,1.4410219413622212,2.132342751121342,14.895000147945002
151.8,2.7205591576428603,4.73429486889702,12.01395784909899
151.9,5.955244601350873,10.72037746726024,12.087508784270991
152.0,12.354994463583457,19.56611393994694,22.057986784126136
152.1,15.359332584452101,11.499851978727802,39.796915175521946
152.20000000000002,7.184172689348706,-1.6822031574517422,34.534640321007494
152.3,1.0304874584832255,-2.5517907703510585,25.70410774274886
152.4,-1.1666999888559115,-2.5490784325152784,19.750452790258986
152.5,-2.538736139408814,-4.184879775611334,15.672055796565033
152.6,-4.971846956017822,-8.452613041080177,14.047160593232524
152.70000000000002,-9.850376059888559,-15.958120815329323,18.860545609786985
152.8,-14.706075849771214,-15.937060487466002,34.14937792256306
152.9,-10.404847566740962,-2.5291097202233264,36.79665127814022
153.0,-3.64211770885381,1.028677619328515,28.28695391707127
153.1,-0.8781830815110041,0.45551567154630035,21.524051870250197
153.20000000000002,-0.20487914193256304,0.04745234469027489,16.475839190005605
153.3,-0.11513830637208197,-0.13228571443131318,12.619835013601714
153.4,-0.2005310793217999,-0.3588726125636849,9.669113562213143
153.5,-0.47853451933934543,-0.9214411957629645,7.424152562619673
153.6,-1.2503949865164543,-2.4884056647799317,5.810231436151483
153.70000000000002,-3.4295339169709687,-6.9275140598994485,5.377398421257523
153.8,-9.262027926908598,-17.825951277631898,10.954592782115572
153.9,-17.831913214072838,-21.68584473667647,36.597948233750195
154.0,-10.860901323861047,2.6632447071355037,41.01370430702352
154.1,-0.2567668975266688,6.3945837174596365,29.29448669536021
154.20000000000002,3.837544818038685,6.357226289892442,23.64651505314576
154.3,6.123073308900911,8.54673386961219,21.381824510071713
154.4,8.939857557057135,12.013210305371246,23.307427768285216
154.5,11.360520196137758,12.442939366245703,29.46433242428222
154.6,10.323189513673947,7.43890782922279,32.43971670121955
154.70000000000002,7.068088532474585,4.167603626538414,28.98269183994311
154.8,5.232757126675274,4.514243740917586,24.346328707455555
154.9,5.533240718620014,6.791847397491937,21.208197595924137
155.0,7.650409986144374,10.537067098319488,21.243003509186757
155.1,10.733733764029425,13.420253973988393,26.393147163436456
155.20000000000002,11.53404198088267,10.003923947710902,32.549112616551476
155.3,8.428667538509268,4.684968446357466,31.208992413478107
155.4,5.494514466921698,3.6697373576448356,26.19268439466546
155.5,4.828984104087594,5.238660425580928,21.946887431022972
155.6,6.191901371603804,8.478961507215555,20.05187669735667
155.70000000000002,9.233355000581536,12.761868667377565,22.690946641234124
155.8,11.977284056231415,13.014867515352725,30.33482179863959
155.9,10.38452653013882,6.644203018909961,33.3176185046099
156.0,6.478155120717444,3.228315135622161,28.819561742647252
156.1,4.513460024179252,3.8036480937066424,23.59664326936664
156.20000000000002,4.863462367464021,6.204923063518884,20.036013580055748
156.3,7.157319130486633,10.377880238380621,19.687288270437804
156.4,10.846206398570734,14.38310138815002,25.319003171235977
156.5,12.276913297376684,10.819667835917002,33.43938457088585
156.6,8.621419055516261,3.9981762105341363,32.25101143163626
156.70000000000002,4.961211105765607,2.6275414674439235,26.39501738163352
156.8,3.9309749864301713,4.059378066591498,21.4074878013023
156.9,5.037960373710891,7.114822218342055,18.5205230175338
157.0,8.117433112429172,12.129913444693628,19.765226392140107
157.1,12.13620946997793,15.116515148039701,28.14826334180841
157.20000000000002,11.877034711744718,8.208994717095502,35.02084547814949
157.3,7.014155900505331,2.3499512590602007,30.77353414439675
157.4,3.8547306411174387,2.218195445508375,24.47527104388958
157.5,3.4090386966969386,3.9969213302163507,19.659472714574893
157.6,4.930381450417059,7.435375222530117,17.088113788766012
157.70000000000002,8.541766038296677,13.18389335065061,19.236969839455664
157.8,12.95946691989495,15.761774798306828,29.661272791735502
157.9,11.707786479137301,6.669648713367066,36.00427554038019
158.0,6.039912021067178,1.1895088727755894,30.13862030156175
158.1,2.9500169005825594,1.4605602157350996,23.486982566079565
158.20000000000002,2.555605932775458,3.0755186875725538,18.489984291981514
158.3,3.8963640734264415,6.134757765592788,15.420590859209934
158.4,7.326082323067394,12.067687925070643,16.270052600585025
158.5,12.745335783921677,17.621844339214107,26.5243313205998
158.6,13.318208970347392,8.725832289773392,37.63052331810546
158.70000000000002,6.675880680203089,0.24096313271726766,32.13685014211372
158.8,2.318159784161113,-0.0881545230887045,24.54665143673345
158.9,1.126209059575253,0.8186107387560339,18.84397269683981
159.0,1.3334694733107102,2.00159575248829,14.575391821459295
159.1,2.559275711113255,4.4876406216938145,11.698723030320519
159.20000000000002,5.6782433919908435,10.310091691499077,11.578186695111274
159.3,12.05662183008572,19.50622401730579,20.99348656216849
159.4,15.667207302446648,12.446741747791684,39.713907481792404
159.5,7.532286033005006,-1.7247643543013558,35.111188877622006
159.6,1.0201903654085558,-2.8130643474003394,26.057501984670772
159.70000000000002,-1.3419867098079086,-2.83795454697403,20.054176286302823
159.8,-2.831323375339209,-4.617180359647517,16.038886738870673
159.9,-5.443480983139252,-9.132940343121446,14.741621217991131
160.0,-10.42630519636884,-16.367708784665886,20.435192933205354
160.1,-14.506245191651352,-14.511474404567686,35.10068913949274
160.20000000000002,-9.64359217913808,-2.0900343002314616,35.763915656592246
160.3,-3.48036305053869,0.6082934468157529,27.52260583440338
160.4,-1.1334753802397675,-0.09480947491593321,21.01941715188847
160.5,-0.7513314503451417,-0.843931210181917,16.133297450289557
160.6,-1.183663361113803,-1.9782316782099278,12.47100968621646
160.70000000000002,-2.541893252033481,-4.651491549874162,10.075316576125523
160.8,-5.988718557264372,-11.147556133758671,10.609368049161848
160.9,-13.013797539447783,-20.907871377805098,22.265496493027978
161.0,-15.709554426844385,-10.336224647009637,41.48204574527135
161.1,-6.271045623497739,3.1251445502719886,34.24100237367
161.20000000000002,0.01581470488402864,3.604734279676931,25.43778004769
161.3,2.3599395563538343,4.07926694884325,19.941839877297042
161.4,4.319172176138913,6.823655231698458,16.85356705839048
161.5,7.8152257722762615,12.381539090284578,18.0365042694941
161.6,12.629446761656983,16.474834963471963,27.79478328174401
161.70000000000002,12.519027287034522,8.094162319067973,36.479254360876524
161.8,6.650237933469583,1.1278139820678683,31.286892101559353
