t,u0,chi0,u_l2,chi_l2
0.0,1.0,0.0,1.7320508075688772,0.0
0.09999999999999999,1.9941243482891682,0.12145952256148859,4.777896396275786,0.2156909723852494
0.20000000000000004,5.807164580104614,0.4310219816682742,14.018658464469075,0.7775457821767663
0.3000000000000001,15.380683822439584,1.2971074685869672,37.82321261675042,2.3599194619466854
0.4000000000000002,18.85375582876269,2.9751144602592663,56.83987303509602,5.487621201376016
0.5000000000000002,-1.4043527760937107,3.536320441384628,38.7246923590778,6.836618497834943
0.6000000000000003,-9.556453707108208,2.537615483695847,37.395212257041756,5.466468640900513
0.7000000000000004,-8.04258536414284,1.3653827237844083,33.7863762350116,3.6888517397740976
0.8000000000000005,-4.787395409651507,0.6010728157083509,27.13326589281215,2.5261031094673108
0.9000000000000006,-3.702236535257401,0.14467460163613866,21.995275970269606,1.8414751123327675
1.0000000000000007,-4.6583960383726915,-0.24987343192357558,19.797205305237014,1.28331571524741
1.1000000000000008,-7.553857876261962,-0.7726867415829112,23.09161713478433,0.930278684127869
1.2000000000000008,-12.08419783936815,-1.594215545180884,33.37987717536171,1.8974767264815906
1.300000000000001,-13.157200979530188,-2.6681171427478647,40.42620136727101,3.872968113457234
1.400000000000001,-6.7673775754224295,-3.3609269640642125,33.35190879503822,5.380264822501177
1.500000000000001,-1.837721608199747,-3.370680631548264,24.868686123766494,5.762866651912118
1.6000000000000012,-0.3309190042657453,-3.078995332604387,18.904892009515898,5.611474147902444
1.7000000000000013,-0.023653761828897467,-2.742953387363207,14.428411079066649,5.350879821418733
1.8000000000000014,0.05224313454966095,-2.4295127022070884,11.01110026046026,5.095109366544676
1.9000000000000015,0.13558301822261398,-2.1451040757940474,8.402620350328146,4.85721361550941
2.0000000000000013,0.33552671582175747,-1.8810668866772717,6.437933045656078,4.624368909143696
2.099999999999999,0.8667358201389608,-1.6162890722838776,5.2441205457072035,4.361715537629806
2.199999999999997,2.322254529366906,-1.2983513250739511,6.590441192499929,3.9799506739916266
2.299999999999995,6.306068872003035,-0.7874275433233857,15.387048729213125,3.244978915110051
