t,chi0,chi1,chi2,w0_chi0,w1_chi1,w2_chi2,total_feedback
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09999999999999999,0.28370157157781634,0.2853285048865274,0.28576439368270656,0.14185078578890817,0.057065700977305484,0.02857643936827066,0.2274929261344843
0.20000000000000004,1.0076785995627844,1.0175787001484773,1.0202436137786406,0.5038392997813922,0.20351574002969547,0.10202436137786407,0.8093794011889517
0.3000000000000001,2.6156736195231507,2.6503230380293057,2.659684468576742,1.3078368097615753,0.5300646076058612,0.2659684468576742,2.1038698642251106
0.4000000000000002,4.031908157888981,4.11697139946439,4.140057310265631,2.0159540789444903,0.8233942798928781,0.4140057310265631,3.2533540898639313
0.5000000000000002,3.8128751196413417,3.9579083434244393,3.997554592538405,1.9064375598206709,0.7915816686848879,0.39975545925384054,3.0977746877593995
0.6000000000000003,2.928429063262221,3.12409559957736,3.1780986625157364,1.4642145316311106,0.624819119915472,0.31780986625157365,2.406843517798156
0.7000000000000004,2.056539634837897,2.2889774937505316,2.353864773009157,1.0282698174189484,0.45779549875010633,0.2353864773009157,1.7214517934699705
0.8000000000000005,1.3547914563145005,1.6119440940418277,1.6846570501839668,0.6773957281572502,0.32238881880836556,0.1684657050183967,1.1682502519840126
0.9000000000000006,0.7169314820569235,0.9887985191653519,1.0667710463387197,0.35846574102846174,0.1977597038330704,0.10667710463387198,0.6629025494954042
1.0000000000000007,-0.014426060070921204,0.2620882760248385,0.342686574190993,-0.007213030035460602,0.052417655204967696,0.034268657419099305,0.07947328258860639
1.1000000000000008,-0.9507634855473278,-0.6818811382972295,-0.6019361272241172,-0.4753817427736639,-0.1363762276594459,-0.06019361272241172,-0.6719515831555215
1.2000000000000008,-2.0274295314779955,-1.7813593677993984,-1.7061893840267606,-1.0137147657389978,-0.3562718735598797,-0.17061893840267606,-1.5406055777015535
1.300000000000001,-2.93841317616397,-2.7304501429720696,-2.6642865237788165,-1.469206588081985,-0.5460900285944139,-0.26642865237788166,-2.2817252690542804
1.400000000000001,-3.5195788602213547,-3.3609024169445076,-3.3069481183878926,-1.7597894301106773,-0.6721804833889016,-0.3306948118387893,-2.762664725338368
1.500000000000001,-3.925404806125535,-3.8230076735776093,-3.783395085838035,-1.9627024030627676,-0.764601534715522,-0.3783395085838035,-3.1056434463620928
1.6000000000000012,-4.367991941919994,-4.327676399435562,-4.304251546961507,-2.183995970959997,-0.8655352798871125,-0.4304251546961507,-3.4799564055432604
1.7000000000000013,-5.026969482589318,-5.05630222243249,-5.0514136174811926,-2.513484741294659,-1.011260444486498,-0.5051413617481193,-4.029886547529276
1.8000000000000014,-6.0087413186504826,-6.119409888173038,-6.136551578643622,-3.0043706593252413,-1.2238819776346077,-0.6136551578643622,-4.841907794824211
1.9000000000000015,-7.071177405248916,-7.278635035284193,-7.322374006607441,-3.535588702624458,-1.4557270070568387,-0.7322374006607442,-5.72355311034204
2.0000000000000013,-7.708089397265471,-8.025307084235743,-8.09962388756129,-3.8540446986327357,-1.6050614168471489,-0.809962388756129,-6.269068504236014
2.099999999999999,-7.918941052803736,-8.35169988820407,-8.458706677012307,-3.959470526401868,-1.670339977640814,-0.8458706677012308,-6.475681171743913
2.199999999999997,-7.987766284746614,-8.537382985986415,-8.678018108480655,-3.993883142373307,-1.7074765971972832,-0.8678018108480656,-6.569161550418656
2.299999999999995,-8.102846781514396,-8.769899868535198,-8.944908017435244,-4.051423390757198,-1.7539799737070396,-0.8944908017435245,-6.699894166207762
2.399999999999993,-8.418556853220437,-9.205314718139531,-9.41589646808585,-4.209278426610219,-1.8410629436279065,-0.9415896468085849,-6.99193101704671
2.4999999999999907,-9.153550717938183,-10.066665931633297,-10.315210504228673,-4.576775358969091,-2.0133331863266597,-1.0315210504228673,-7.621629595718618
2.5999999999999885,-10.370633868355405,-11.424060573448193,-11.714953344432923,-5.185316934177703,-2.2848121146896387,-1.1714953344432923,-8.641624383310633
2.6999999999999864,-11.264853892062963,-12.475344164855485,-12.813797933067942,-5.632426946031481,-2.4950688329710973,-1.2813797933067943,-9.408875572309373
2.7999999999999843,-11.297555133993855,-12.671653846194353,-13.060224190376578,-5.648777566996928,-2.5343307692388706,-1.306022419037658,-9.489130755273456
2.899999999999982,-10.905481891550375,-12.439452557395661,-12.877959408039963,-5.452740945775187,-2.4878905114791325,-1.2877959408039965,-9.228427398058317
2.99999999999998,-10.32427673536946,-12.010119161157123,-12.497214405090451,-5.16213836768473,-2.402023832231425,-1.2497214405090453,-8.8138836404252
3.099999999999978,-9.489184797689981,-11.315925946096204,-11.849420985662432,-4.744592398844991,-2.2631851892192407,-1.1849420985662433,-8.192719686630475
3.1999999999999758,-8.217531910061593,-10.169226112581281,-10.74553984249534,-4.108765955030797,-2.0338452225162564,-1.074553984249534,-7.217165161796587
3.2999999999999736,-6.642719748806244,-8.696987988571491,-9.310727112143065,-3.321359874403122,-1.7393975977142984,-0.9310727112143065,-5.991830183331727
3.3999999999999715,-5.5795314402384255,-7.7147796519521386,-8.360642825013766,-2.7897657201192128,-1.5429559303904279,-0.8360642825013767,-5.1687859330110175
3.4999999999999694,-5.192519854551924,-7.397452484953539,-8.072796965853493,-2.596259927275962,-1.479490496990708,-0.8072796965853494,-4.88303012085202
3.5999999999999672,-5.0717558956892645,-7.3424324268718,-8.046538697686342,-2.5358779478446323,-1.46848648537436,-0.8046538697686343,-4.809018302987626
3.699999999999965,-5.030825728775165,-7.3657356341922835,-8.098518662801368,-2.5154128643875824,-1.4731471268384568,-0.8098518662801368,-4.798411857506176
3.799999999999963,-5.057814790172877,-7.456439500523534,-8.218073171428145,-2.5289073950864385,-1.491287900104707,-0.8218073171428145,-4.84200261233396
3.899999999999961,-5.229347858275483,-7.692595006369001,-8.48363339174698,-2.6146739291377417,-1.5385190012738004,-0.8483633391746981,-5.00155626958624
3.9999999999999587,-5.744720863987977,-8.276799327828252,-9.098687457991293,-2.8723604319939886,-1.6553598655656505,-0.9098687457991294,-5.437589043358768
4.099999999999957,-6.927109810243679,-9.539555500678569,-10.395727884759333,-3.4635549051218395,-1.9079111001357139,-1.0395727884759334,-6.4110387937334865
4.199999999999955,-8.352299309261438,-11.065714330907879,-11.96210388172534,-4.176149654630719,-2.2131428661815757,-1.1962103881725341,-7.585502908984829
4.299999999999953,-8.63618517812306,-11.464535891800981,-12.405404142565189,-4.31809258906153,-2.2929071783601964,-1.240540414256519,-7.851540181678246
4.399999999999951,-8.09691669780671,-11.037311021767817,-12.022453798936844,-4.048458348903355,-2.2074622043535634,-1.2022453798936845,-7.458165933150603
4.4999999999999485,-7.284127664991594,-10.32577255377184,-11.352841877331967,-3.642063832495797,-2.065154510754368,-1.1352841877331967,-6.842502530983362
4.599999999999946,-6.299952944066358,-9.429022081878356,-10.494798310347603,-3.149976472033179,-1.8858044163756713,-1.0494798310347604,-6.08526071944361
4.699999999999944,-5.161845532226786,-8.362054476548353,-9.462586305592431,-2.580922766113393,-1.6724108953096708,-0.9462586305592432,-5.199592291982307
4.799999999999942,-4.026296066815339,-7.279981692755131,-8.410863226298313,-2.0131480334076697,-1.4559963385510262,-0.8410863226298313,-4.310230694588527
4.89999999999994,-3.1024823053206174,-6.393647777174808,-7.550830126912949,-1.5512411526603087,-1.2787295554349616,-0.755083012691295,-3.5850537207865654
4.999999999999938,-2.3874313652703085,-5.703621670183014,-6.883927233442329,-1.1937156826351543,-1.140724334036603,-0.688392723344233,-3.02283274001599
5.099999999999936,-1.7160480469199477,-5.0469585889720205,-6.247725926463529,-0.8580240234599739,-1.009391717794404,-0.624772592646353,-2.4921883339007307
5.199999999999934,-0.9191425531401825,-4.2539887991990915,-5.472376197207315,-0.4595712765700912,-0.8507977598398183,-0.5472376197207315,-1.857606656130641
5.299999999999931,0.09858012470042643,-3.2267912858026846,-4.459196774414865,0.049290062350213215,-0.645358257160537,-0.44591967744148653,-1.0419878722518103
