t,x,y,z
0.0,1.0,1.0,1.0
0.09999999999999999,1.9949322893541428,4.212957738749233,1.0524597818737376
0.20000000000000004,5.812194623784538,12.337817822060542,3.2771202435265616
0.3000000000000001,15.398633809350706,27.762661808402473,20.618124037028995
0.4000000000000002,18.859270588724677,3.2108598956310574,53.526570092027434
0.5000000000000002,-1.4106504675686997,-15.979595332653606,35.21677035687564
0.6000000000000003,-9.572051333155345,-10.833172640757772,34.50834516456371
0.7000000000000004,-8.072308329323487,-4.226440646237033,32.58839102668069
0.8000000000000005,-4.809307232314858,-2.477728166234912,26.6276926078059
0.9000000000000006,-3.7205247153268077,-3.7285368933510648,21.377959373846075
1.0000000000000007,-4.68438685756629,-6.589212309286285,18.092485502661102
1.1000000000000008,-7.598556532962312,-11.63727269752565,18.501798367315317
1.2000000000000008,-12.143673486316041,-16.304106278208486,26.585034961946235
1.300000000000001,-13.169001397872577,-9.314875635852099,37.063475860812105
1.400000000000001,-6.748085824716011,-0.15194328452435063,32.55318574408678
1.500000000000001,-1.8516384233294776,0.4958788048639462,24.694894518516335
1.6000000000000012,-0.3669924802281744,-0.0624978128435887,18.822050457584012
1.7000000000000013,-0.07964898844081933,-0.25557310936603034,14.366756300788968
1.8000000000000014,-0.047753586013565774,-0.31362103419497783,10.965568150951283
1.9000000000000015,-0.07557679604528611,-0.38361820063876007,8.37024219225632
2.0000000000000013,-0.16391287065478471,-0.5623979306508696,6.392372167367644
2.099999999999999,-0.40358470697948223,-1.0538900414360874,4.89639251374868
2.199999999999997,-1.0643564486260684,-2.4297152866969265,3.835673861378515
2.299999999999995,-2.9151864039943924,-6.299153777472636,3.5959479934225427
2.399999999999993,-7.970958478329336,-16.34122460126243,7.588137256901726
2.4999999999999907,-17.983192923803667,-26.90876245694927,32.13553010905472
2.5999999999999885,-13.420178776065807,6.011625866783829,47.964522764400705
2.6999999999999864,3.665549740546519,12.911108019700373,32.87209721661832
2.7999999999999843,8.777541111196776,9.108841845309941,31.767464083375383
