t,chi0,chi1,chi2,w0_chi0,w1_chi1,w2_chi2,total_feedback
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09999999999999999,-0.0929632487219636,-0.09368313926581653,-0.09387617949469114,-0.0464816243609818,-0.018736627853163306,-0.009387617949469115,-0.07460587016361422
0.20000000000000004,-0.21795557349612477,-0.2207591490744894,-0.2215155069392378,-0.10897778674806238,-0.04415182981489788,-0.022151550693923782,-0.17528116725688406
0.3000000000000001,-0.5736855550787922,-0.581673864840021,-0.5838367630238221,-0.2868427775393961,-0.11633477296800421,-0.05838367630238222,-0.4615612268097825
0.4000000000000002,-1.5670092187676063,-1.5890763421572291,-1.5950602677368857,-0.7835046093838032,-0.31781526843144586,-0.15950602677368858,-1.2608259045889376
0.5000000000000002,-3.4515850937390558,-3.5092338256346856,-3.524887038543841,-1.7257925468695279,-0.7018467651269371,-0.35248870385438413,-2.780128015850849
0.6000000000000003,-4.233852529291879,-4.350764484409974,-4.382642561427547,-2.1169262646459397,-0.8701528968819949,-0.4382642561427547,-3.4253434176706894
0.7000000000000004,-3.510079079290699,-3.6858542070368983,-3.734159240333699,-1.7550395396453495,-0.7371708414073797,-0.37341592403336993,-2.8656263050860993
0.8000000000000005,-2.5270191462470915,-2.7476326211742657,-2.8088918727499093,-1.2635095731235457,-0.5495265242348532,-0.28088918727499096,-2.09392528463339
0.9000000000000006,-1.8289516976282219,-2.081178222676751,-2.1520590544243743,-0.9144758488141109,-0.41623564453535017,-0.21520590544243745,-1.5459173987918986
1.0000000000000007,-1.3550424811401431,-1.6300511210353428,-1.7083358969822962,-0.6775212405700716,-0.3260102242070686,-0.17083358969822962,-1.1743650544753699
1.1000000000000008,-0.8869616109351564,-1.1778383161878623,-1.2617814688367404,-0.4434808054675782,-0.23556766323757247,-0.12617814688367404,-0.8052266155888247
1.2000000000000008,-0.23145962545802906,-0.5300904480397708,-0.6175897966823024,-0.11572981272901453,-0.10601808960795417,-0.06175897966823024,-0.2835068820051989
1.300000000000001,0.7841660385575702,0.4899011632184603,0.40206526572096435,0.3920830192787851,0.09798023264369206,0.04020652657209644,0.5302697784945736
1.400000000000001,2.060391130128218,1.7879299751573696,1.704469157246068,1.030195565064109,0.3575859950314739,0.1704469157246068,1.5582284758201896
1.500000000000001,2.971189484006452,2.737863813755373,2.6635534308689617,1.485594742003226,0.5475727627510746,0.2663553430868962,2.299522847841197
1.6000000000000012,3.304284642940299,3.119363090205543,3.056899158264904,1.6521423214701496,0.6238726180411086,0.3056899158264904,2.5817048553377484
1.7000000000000013,3.384877822873981,3.2510081549647847,3.2013506456504817,1.6924389114369904,0.650201630992957,0.3201350645650482,2.6627756069949955
1.8000000000000014,3.431366638051502,3.3491073650552474,3.3126660855873924,1.715683319025751,0.6698214730110496,0.33126660855873924,2.71677140059554
1.9000000000000015,3.5458770726432594,3.5160128536471174,3.493260362317303,1.7729385363216297,0.7032025707294235,0.3493260362317303,2.8254671432827836
2.0000000000000013,3.8506042944469097,3.875662712678071,3.8675433032700828,1.9253021472234548,0.7751325425356143,0.3867543303270083,3.087189020086077
2.099999999999999,4.5899204700048095,4.6767203863166475,4.685343529667762,2.2949602350024048,0.9353440772633296,0.4685343529667762,3.6988386652325107
2.199999999999997,5.984601331208894,6.148395013058055,6.1781709285797275,2.992300665604447,1.2296790026116111,0.6178170928579728,4.839796761074031
2.299999999999995,7.152040529277812,7.413765798920795,7.470715866662071,3.576020264638906,1.482753159784159,0.7470715866662072,5.805845011089272
2.399999999999993,7.181223182463247,7.550013342262779,7.637096248884829,3.5906115912316237,1.5100026684525558,0.7637096248884829,5.864323884572663
2.4999999999999907,6.643528640382518,7.11470045064971,7.2312009717791215,3.321764320191259,1.422940090129942,0.7231200971779121,5.467824507499113
2.5999999999999885,5.87694465836032,6.4402771833404655,6.583964234561814,2.93847232918016,1.2880554366680932,0.6583964234561814,4.884924189304435
